"LOCATION","Country","SUBJECT","Subject","MEASURE","Measure","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"NLD","Netherlands","CPALTT01","CPI: 01-12 - All items","IXOB","Index","A","Annual","2000","2000","IDX","Index","0","Units","2015_100","2015=100",75.055,,
"NLD","Netherlands","CPALTT01","CPI: 01-12 - All items","IXOB","Index","A","Annual","2004","2004","IDX","Index","0","Units","2015_100","2015=100",83.475,,
"GRC","Greece","CPALTT01","CPI: 01-12 - All items","IXOB","Index","A","Annual","2000","2000","IDX","Index","0","Units","2015_100","2015=100",71.64864,,
"GRC","Greece","CPALTT01","CPI: 01-12 - All items","IXOB","Index","A","Annual","2004","2004","IDX","Index","0","Units","2015_100","2015=100",81.76764,,
"BEL","Belgium","CPALTT01","CPI: 01-12 - All items","IXOB","Index","A","Annual","2000","2000","IDX","Index","0","Units","2015_100","2015=100",74.95354,,
"BEL","Belgium","CPALTT01","CPI: 01-12 - All items","IXOB","Index","A","Annual","2004","2004","IDX","Index","0","Units","2015_100","2015=100",80.97173,,
"SWE","Sweden","CPALTT01","CPI: 01-12 - All items","IXOB","Index","A","Annual","2000","2000","IDX","Index","0","Units","2015_100","2015=100",83.23418,,
"SWE","Sweden","CPALTT01","CPI: 01-12 - All items","IXOB","Index","A","Annual","2004","2004","IDX","Index","0","Units","2015_100","2015=100",89.08501,,
"FRA","France","CPALTT01","CPI: 01-12 - All items","IXOB","Index","A","Annual","2000","2000","IDX","Index","0","Units","2015_100","2015=100",79.92917,,
"FRA","France","CPALTT01","CPI: 01-12 - All items","IXOB","Index","A","Annual","2004","2004","IDX","Index","0","Units","2015_100","2015=100",86.34666,,
"AUS","Australia","CPALTT01","CPI: 01-12 - All items","IXOB","Index","A","Annual","2000","2000","IDX","Index","0","Units","2015_100","2015=100",66.38031,,
"AUS","Australia","CPALTT01","CPI: 01-12 - All items","IXOB","Index","A","Annual","2004","2004","IDX","Index","0","Units","2015_100","2015=100",75.04063,,
"DEU","Germany","CPALTT01","CPI: 01-12 - All items","IXOB","Index","A","Annual","2000","2000","IDX","Index","0","Units","2015_100","2015=100",79.94353,,
"DEU","Germany","CPALTT01","CPI: 01-12 - All items","IXOB","Index","A","Annual","2004","2004","IDX","Index","0","Units","2015_100","2015=100",84.93465,,
"DNK","Denmark","CPALTT01","CPI: 01-12 - All items","IXOB","Index","A","Annual","2000","2000","IDX","Index","0","Units","2015_100","2015=100",76.24255,,
"DNK","Denmark","CPALTT01","CPI: 01-12 - All items","IXOB","Index","A","Annual","2004","2004","IDX","Index","0","Units","2015_100","2015=100",82.51667,,
"ESP","Spain","CPALTT01","CPI: 01-12 - All items","IXOB","Index","A","Annual","2000","2000","IDX","Index","0","Units","2015_100","2015=100",71.28364,,
"ESP","Spain","CPALTT01","CPI: 01-12 - All items","IXOB","Index","A","Annual","2004","2004","IDX","Index","0","Units","2015_100","2015=100",80.80282,,
"ITA","Italy","CPALTT01","CPI: 01-12 - All items","IXOB","Index","A","Annual","2000","2000","IDX","Index","0","Units","2015_100","2015=100",75.05739,,
"ITA","Italy","CPALTT01","CPI: 01-12 - All items","IXOB","Index","A","Annual","2004","2004","IDX","Index","0","Units","2015_100","2015=100",82.9535,,
